InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
INV0745,SKU055,Polo Shirt,11,2024-08-06 00:00:00,28.32,264.0,United Kingdom
INV0783,SKU062,Waffle Maker,8,2024-01-13 00:00:00,69.21,,United Kingdom
INV0908,SKU178,Pencils,19,2024-06-25 00:00:00,37.21,19.0,United Kingdom
INV1442,SKU117,String Lights,8,2024-11-24 00:00:00,12.5,392.0,United Kingdom
INV0759,SKU056,Hiking Boots,19,2024-03-08 00:00:00,97.66,9.0,United Kingdom
INV1214,SKU093,Pendant Light,23,2024-03-26 00:00:00,53.64,62.0,United Kingdom
INV0518,SKU193,File Folders,1,2024-10-22 00:00:00,57.61,683.0,United Kingdom
INV1035,SKU030,Phone Case,3,2024-08-01 00:00:00,57.91,105.0,United Kingdom
INV0349,SKU031,Leather Belt,20,2024-04-06 00:00:00,59.81,299.0,United Kingdom
INV1814,SKU151,Stapler,20,2024-05-01 00:00:00,6.49,594.0,France
INV1084,SKU021,Bluetooth Speaker,18,2024-11-03 00:00:00,7.97,506.0,United Kingdom
INV0134,SKU074,Mixer,15,2024-03-28 00:00:00,7.58,315.0,United Kingdom
INV0811,SKU030,Wireless Charger,5,2024-07-05 00:00:00,90.88,331.0,United Kingdom
INV2438,SKU074,Pressure Cooker,23,2024-09-17 00:00:00,30.75,3.0,United Kingdom
INV0330,SKU011,Phone Stand,20,2024-10-02 00:00:00,25.41,287.0,United Kingdom
INV0085,SKU069,Deep Fryer,6,2024-11-09 00:00:00,47.31,694.0,United Kingdom
INV1786,SKU126,Highlighters,14,2024-10-21 00:00:00,33.66,492.0,United Kingdom
INV2030,SKU170,Paper Clips,18,2024-04-26 00:00:00,4.15,568.0,United Kingdom
INV1656,SKU001,Wireless Charger,2,2024-08-20 00:00:00,19.16,70.0,United Kingdom
INV0212,SKU069,Griddle,10,2024-03-14 00:00:00,44.09,720.0,United Kingdom
INV0649,SKU142,Notebook,3,2024-05-08 00:00:00,22.86,10.0,United Kingdom
INV0631,SKU184,Ruler,9,2024-08-12 00:00:00,41.84,2.0,United Kingdom
INV1572,SKU154,Calendar,5,2024-03-07 00:00:00,86.46,244.0,United Kingdom
INV2080,SKU001,Stylus Pen,19,2024-04-15 00:00:00,58.2,612.0,United Kingdom
INV1414,SKU142,Planner,11,2024-05-19 00:00:00,87.02,628.0,Sweden
INV1683,SKU082,Vacuum Sealer,13,2023-12-23 00:00:00,38.91,519.0,United Kingdom
INV0152,SKU129,Post-its,4,2024-02-03 00:00:00,87.47,477.0,United Kingdom
INV0591,SKU168,Markers,9,2024-06-27 00:00:00,34.18,,United Kingdom
INV2186,SKU082,Vacuum Sealer,2,2024-06-12 00:00:00,61.93,568.0,United Kingdom
INV0371,SKU026,Screen Protector,23,2024-07-10 00:00:00,30.29,547.0,United Kingdom
INV1536,SKU038,Gloves,19,2024-07-08 00:00:00,68.33,39.0,United Kingdom
INV0987,SKU150,Markers,21,2024-08-11 00:00:00,25.77,323.0,United Kingdom
INV2239,SKU019,Protective Film,19,2024-02-19 00:00:00,30.26,8.0,Denmark
INV1576,SKU028,Wall Charger,12,2024-08-04 00:00:00,57.69,165.0,Denmark
INV2319,SKU200,Pen Set,24,2024-11-16 00:00:00,49.92,7.0,Denmark
INV1444,SKU163,Markers Set,22,2024-03-22 00:00:00,75.67,517.0,United Kingdom
INV0162,SKU113,Floor Lamp,24,2024-05-07 00:00:00,13.57,470.0,Italy
INV2210,SKU136,Calendar,6,2024-06-05 00:00:00,26.07,489.0,United Kingdom
INV1388,SKU120,Ceiling Light,8,2024-01-28 00:00:00,86.08,162.0,United Kingdom
INV1617,SKU068,Griddle,12,2023-12-08 00:00:00,67.44,685.0,United Kingdom
INV0444,SKU060,Hiking Boots,-9,2024-11-10 00:00:00,33.13,726.0,United Kingdom
INV1238,SKU105,Table Lamp,2,2024-10-28 00:00:00,30.78,725.0,United Kingdom
INV1859,SKU172,Planner,24,2024-06-07 00:00:00,72.79,9.0,Poland
INV1146,SKU177,Tape Dispenser,15,2023-12-17 00:00:00,95.07,8.0,France
INV1470,SKU102,String Lights,4,2024-01-01 00:00:00,94.92,588.0,United Kingdom
INV2446,SKU013,Camera Lens,5,2023-12-11 00:00:00,78.8,4.0,United Kingdom
INV0885,SKU085,Electric Kettle,20,2024-03-29 00:00:00,0.78,683.0,Germany
INV0715,SKU170,Notebook,12,2024-01-26 00:00:00,79.1,676.0,United Kingdom
INV0520,SKU135,Sticky Notes,16,2024-07-03 00:00:00,45.1,100.0,United Kingdom
INV0178,SKU134,Ruler,1,2024-11-02 00:00:00,6.55,631.0,United Kingdom
INV1817,SKU021,Camera Lens,3,2024-01-07 00:00:00,13.05,362.0,United Kingdom
INV2447,SKU076,Pressure Cooker,14,2024-08-28 00:00:00,10.37,764.0,United Kingdom
INV2259,SKU111,Area Rug,14,2024-03-20 00:00:00,34.22,733.0,United Kingdom
INV1281,SKU066,Juicer,22,2024-11-05 00:00:00,92.33,59.0,United Kingdom
INV1527,SKU143,Pen Set,18,2024-02-05 00:00:00,56.38,447.0,United Kingdom
INV1733,SKU074,Bread Maker,4,2023-12-27 00:00:00,58.0,351.0,United Kingdom
INV1435,SKU095,Table Lamp,19,2024-09-10 00:00:00,23.0,514.0,United Kingdom
INV2281,SKU156,Eraser,-5,2023-12-14 00:00:00,70.41,792.0,United Kingdom
INV0587,SKU169,Paper Clips,24,2024-09-15 00:00:00,63.49,14.0,United Kingdom
INV1859,SKU041,Polo Shirt,11,2024-05-23 00:00:00,77.79,510.0,United Kingdom
INV0204,SKU021,Tempered Glass,14,2024-11-10 00:00:00,48.82,1.0,United Kingdom
INV1414,SKU029,Stylus Pen,19,2024-07-08 00:00:00,48.92,397.0,United Kingdom
INV0225,SKU053,Casual Pants,5,2023-12-04 00:00:00,76.53,7.0,United Kingdom
INV0720,SKU098,Mirror,17,2024-02-05 00:00:00,56.09,8.0,United Kingdom
INV0174,SKU005,Protective Film,11,2024-07-11 00:00:00,57.78,214.0,United Kingdom
INV1660,SKU084,Food Processor,20,2023-12-11 00:00:00,46.28,613.0,United Kingdom
INV0997,SKU151,Paper Clips,13,2024-07-11 00:00:00,87.11,234.0,United Kingdom
INV0468,SKU131,Markers Set,12,2024-08-28 00:00:00,35.43,97.0,Poland
INV1049,SKU045,Hoodie,21,2024-03-11 00:00:00,8.0,520.0,Poland
INV2374,SKU175,Post-its,20,2024-07-17 00:00:00,32.66,397.0,Italy
INV1241,SKU152,Pen Set,3,2024-04-19 00:00:00,31.38,45.0,United Kingdom
INV0370,SKU153,Calendar,19,2024-10-10 00:00:00,55.65,5.0,United Kingdom
INV2342,SKU049,Dress Shirt,17,2024-10-29 00:00:00,15.51,630.0,United Kingdom
INV0346,SKU166,Whiteboard,23,2024-08-15 00:00:00,44.05,6.0,United Kingdom
INV1159,SKU105,Bookshelf,2,2024-06-16 00:00:00,79.02,481.0,United Kingdom
INV1584,SKU065,Bread Maker,11,2024-04-24 00:00:00,8.61,2.0,United Kingdom
INV1606,SKU153,Highlighters,13,2024-02-05 00:00:00,64.52,558.0,United Kingdom
INV1735,SKU093,LED Desk Lamp,6,2024-08-17 00:00:00,95.13,9.0,United Kingdom
INV0564,SKU020,Stylus Pen,4,2024-02-18 00:00:00,51.01,498.0,United Kingdom
INV1380,SKU034,Hoodie,6,2024-10-12 00:00:00,18.49,,United Kingdom
INV0179,SKU094,Night Light,20,2024-06-28 00:00:00,28.85,484.0,United Kingdom
INV1922,SKU095,Wall Art,15,2024-03-09 00:00:00,77.05,284.0,United Kingdom
INV0818,SKU036,Sweater,16,2024-10-05 00:00:00,87.47,614.0,United Kingdom
INV1168,SKU196,Whiteboard,17,2024-01-12 00:00:00,15.16,9.0,United Kingdom
INV1432,SKU107,Floor Lamp,12,2023-12-14 00:00:00,23.96,513.0,Italy
INV1374,SKU036,Cotton T-Shirt,16,2024-02-13 00:00:00,69.75,174.0,United Kingdom
INV0325,SKU066,Rice Cooker,18,2023-12-10 00:00:00,94.04,629.0,United Kingdom
INV0500,SKU062,Waffle Maker,20,2023-12-25 00:00:00,45.98,158.0,United Kingdom
INV2111,SKU062,Electric Kettle,1,2024-09-20 00:00:00,61.67,705.0,United Kingdom
INV2145,SKU018,Charging Dock,17,2024-06-02 00:00:00,55.63,351.0,United Kingdom
INV1530,SKU192,Notebook,3,2024-04-08 00:00:00,34.8,336.0,United Kingdom
INV1362,SKU012,Phone Ring,21,2024-02-07 00:00:00,17.92,795.0,United Kingdom
INV0747,SKU017,Protective Film,7,2024-02-08 00:00:00,4.86,367.0,United Kingdom
INV2225,SKU065,Blender,7,2024-07-30 00:00:00,28.97,5.0,Netherlands
INV1508,SKU103,Area Rug,13,2024-07-11 00:00:00,34.23,569.0,United Kingdom
INV2127,SKU022,Phone Stand,20,2024-04-15 00:00:00,99.5,588.0,United Kingdom
INV1211,SKU115,Plant Pot,6,2024-05-05 00:00:00,69.12,63.0,United Kingdom
INV1782,SKU164,Pen Set,21,2024-04-19 00:00:00,40.91,6.0,United Kingdom
INV0585,SKU174,Binder,3,2024-10-07 00:00:00,23.98,481.0,United Kingdom
INV0629,SKU116,Wall Clock,3,2024-11-12 00:00:00,57.6,,United Kingdom
INV0465,SKU189,Whiteboard,13,2023-12-14 00:00:00,91.39,343.0,United Kingdom
INV1170,SKU126,Markers Set,3,2024-11-20 00:00:00,45.47,760.0,Belgium
INV1310,SKU089,Microwave,10,2024-11-06 00:00:00,89.18,749.0,Poland
INV0498,SKU036,Gloves,1,2024-03-12 00:00:00,36.41,196.0,United Kingdom
INV0354,SKU080,Immersion Blender,24,2024-01-03 00:00:00,48.12,293.0,United Kingdom
INV1299,SKU019,Protective Film,17,2024-10-24 00:00:00,34.78,305.0,Austria
INV0529,SKU129,Pen Set,17,2024-07-09 00:00:00,15.72,493.0,United Kingdom
INV2126,SKU021,Tempered Glass,18,2024-04-24 00:00:00,27.81,374.0,United Kingdom
INV0691,SKU149,Markers,20,2024-09-29 00:00:00,72.2,447.0,United Kingdom
INV0117,SKU012,Phone Holder,7,2024-01-11 00:00:00,76.8,,United Kingdom
INV2235,SKU165,Ruler,22,2024-04-27 00:00:00,40.9,654.0,United Kingdom
INV1984,SKU053,Dress Shirt,11,2024-07-25 00:00:00,86.21,480.0,United Kingdom
INV0536,SKU132,Planner,8,2024-06-07 00:00:00,46.91,576.0,United Kingdom
INV1574,SKU108,Night Light,6,2024-10-11 00:00:00,81.43,60.0,Italy
INV2109,SKU128,Ruler,3,2024-07-27 00:00:00,94.54,92.0,United Kingdom
INV0200,SKU073,Vacuum Sealer,21,2023-12-26 00:00:00,67.41,510.0,United Kingdom
INV1084,SKU196,Paper Clips,13,2024-06-05 00:00:00,5.59,2.0,United Kingdom
INV2066,SKU196,Planner,20,2024-07-18 00:00:00,68.19,158.0,United Kingdom
INV1389,SKU094,Wall Sconce,17,2024-09-11 00:00:00,40.43,601.0,United Kingdom
INV2128,SKU039,Hoodie,5,2024-07-21 00:00:00,33.13,6.0,United Kingdom
INV1226,SKU087,Egg Cooker,18,2024-09-29 00:00:00,49.23,326.0,United Kingdom
INV0449,SKU150,Ruler,24,2024-07-01 00:00:00,87.27,19.0,United Kingdom
INV2370,SKU059,Cotton T-Shirt,6,2024-09-21 00:00:00,52.66,535.0,United Kingdom
INV0993,SKU147,Sticky Notes,15,2023-12-17 00:00:00,31.71,594.0,United Kingdom
INV1932,SKU181,Markers,18,2024-01-01 00:00:00,32.84,610.0,United Kingdom
INV1883,SKU088,Griddle,24,2024-08-29 00:00:00,68.23,560.0,United Kingdom
INV1010,SKU143,Ruler,10,2024-04-21 00:00:00,77.22,258.0,United Kingdom
INV1429,SKU185,Eraser,19,2024-09-12 00:00:00,67.82,650.0,United Kingdom
INV0600,SKU011,Stylus Pen,3,2024-04-27 00:00:00,34.96,576.0,United Kingdom
INV2207,SKU144,Eraser,20,2024-04-17 00:00:00,74.21,256.0,United Kingdom
INV0954,SKU026,Phone Stand,16,2023-12-27 00:00:00,10.5,9.0,United Kingdom
INV0647,SKU168,File Folders,7,2024-06-26 00:00:00,75.71,9.0,United Kingdom
INV0367,SKU147,Pencils,24,2024-10-29 00:00:00,85.1,41.0,United Kingdom
INV0721,SKU102,Curtain Rod,24,2023-12-19 00:00:00,96.22,613.0,Netherlands
INV1373,SKU117,Mirror,5,2024-04-24 00:00:00,85.17,10.0,United Kingdom
INV1880,SKU066,Food Processor,-6,2024-10-27 00:00:00,79.17,68.0,United Kingdom
INV1661,SKU132,Scissors,22,2024-07-06 00:00:00,9.99,489.0,Belgium
INV1572,SKU115,String Lights,10,2024-03-30 00:00:00,58.45,,United Kingdom
INV0255,SKU031,Rain Jacket,13,2024-11-06 00:00:00,68.76,195.0,Denmark
INV1209,SKU158,Pencils,5,2024-06-06 00:00:00,48.07,727.0,United Kingdom
INV2250,SKU194,Planner,7,2024-07-29 00:00:00,76.3,591.0,United Kingdom
INV2164,SKU093,Ceiling Light,4,2024-11-25 00:00:00,6.64,441.0,United Kingdom
INV0674,SKU134,Binder,7,2024-05-16 00:00:00,71.83,693.0,United Kingdom
INV1858,SKU132,Stapler,2,2024-02-06 00:00:00,56.09,628.0,United Kingdom
INV0013,SKU149,Highlighters,12,2024-03-21 00:00:00,70.18,22.0,United Kingdom
INV1934,SKU074,Waffle Maker,5,2023-12-17 00:00:00,76.69,2.0,Poland
INV1567,SKU097,Picture Frame,22,2024-07-17 00:00:00,87.51,591.0,United Kingdom
INV2201,SKU136,Markers,8,2024-06-19 00:00:00,83.56,460.0,United Kingdom
INV2231,SKU137,Paper Clips,8,2024-07-05 00:00:00,46.33,637.0,United Kingdom
INV0132,SKU108,Plant Pot,1,2024-11-03 00:00:00,24.44,382.0,United Kingdom
INV0200,SKU190,Pen Set,8,2024-04-04 00:00:00,54.2,628.0,United Kingdom
INV1185,SKU188,Post-its,20,2024-03-29 00:00:00,77.36,471.0,United Kingdom
INV2136,SKU106,Desk Organizer,18,2024-03-23 00:00:00,94.87,84.0,Germany
INV0193,SKU165,Paper Clips,11,2024-05-25 00:00:00,69.78,618.0,United Kingdom
INV1940,SKU058,Casual Pants,5,2024-04-02 00:00:00,80.67,105.0,Austria
INV0550,SKU063,Air Fryer,21,2024-06-16 00:00:00,8.37,224.0,United Kingdom
INV0781,SKU069,Immersion Blender,20,2023-12-27 00:00:00,4.43,285.0,United Kingdom
INV2290,SKU123,Markers Set,11,2024-03-21 00:00:00,30.66,700.0,Sweden
INV1962,SKU179,Envelopes,13,2024-04-03 00:00:00,91.55,779.0,United Kingdom
INV1472,SKU067,Juicer,16,2024-05-06 00:00:00,46.86,594.0,United Kingdom
INV0833,SKU081,Waffle Maker,8,2024-06-07 00:00:00,74.25,789.0,United Kingdom
INV1711,SKU040,Scarf,13,2024-04-30 00:00:00,57.19,699.0,United Kingdom
INV2002,SKU190,File Folders,24,2024-10-24 00:00:00,79.59,750.0,United Kingdom
INV2221,SKU016,Charging Dock,3,2024-10-24 00:00:00,94.54,650.0,United Kingdom
INV0948,SKU182,Markers,-9,2024-01-04 00:00:00,45.87,611.0,United Kingdom
INV1999,SKU002,Wireless Charger,1,2023-12-09 00:00:00,2.16,715.0,United Kingdom
INV1764,SKU028,Screen Protector,8,2024-03-01 00:00:00,19.6,,United Kingdom
INV0324,SKU104,Area Rug,23,2024-06-09 00:00:00,22.97,536.0,United Kingdom
INV0130,SKU104,Picture Frame,16,2024-01-17 00:00:00,6.08,734.0,United Kingdom
INV1357,SKU025,Charging Dock,8,2024-09-15 00:00:00,21.53,266.0,Norway
INV1149,SKU145,Pen Set,11,2024-09-04 00:00:00,2.06,34.0,United Kingdom
INV1226,SKU145,Pencils,13,2024-02-22 00:00:00,67.86,7.0,United Kingdom
INV0322,SKU191,Tape Dispenser,14,2024-08-13 00:00:00,23.6,389.0,United Kingdom
INV1625,SKU008,Tempered Glass,15,2024-05-16 00:00:00,49.31,714.0,United Kingdom
INV2400,SKU098,Ceiling Light,10,2024-11-03 00:00:00,79.9,621.0,United Kingdom
INV0632,SKU082,Juicer,1,2024-06-17 00:00:00,94.32,3.0,United Kingdom
INV0768,SKU115,Mirror,14,2024-07-08 00:00:00,10.78,452.0,United Kingdom
INV1329,SKU004,Stylus Pen,3,2024-06-15 00:00:00,72.61,705.0,United Kingdom
INV0695,SKU098,Pendant Light,10,2024-11-15 00:00:00,27.2,524.0,United Kingdom
INV1984,SKU093,String Lights,24,2024-01-09 00:00:00,62.68,152.0,United Kingdom
INV0028,SKU086,Bread Maker,11,2024-06-20 00:00:00,44.3,65.0,United Kingdom
INV0558,SKU083,Bread Maker,7,2024-05-02 00:00:00,48.16,733.0,United Kingdom
INV2012,SKU063,Coffee Grinder,13,2024-09-20 00:00:00,36.82,174.0,Sweden
INV2254,SKU187,Binder,7,2023-12-14 00:00:00,44.12,679.0,United Kingdom
INV0571,SKU078,Slow Cooker,5,2024-10-20 00:00:00,71.66,609.0,United Kingdom
INV1642,SKU130,Stapler,12,2024-08-30 00:00:00,70.31,10.0,United Kingdom
INV1017,SKU171,Tape Dispenser,20,2024-11-01 00:00:00,4.91,443.0,Poland
INV1764,SKU003,Screen Protector,17,2024-01-24 00:00:00,74.8,785.0,United Kingdom
INV1603,SKU198,Post-its,5,2024-07-25 00:00:00,34.82,513.0,United Kingdom
INV0352,SKU187,Markers,11,2024-01-29 00:00:00,45.8,7.0,United Kingdom
INV1854,SKU018,Stylus Pen,23,2024-05-12 00:00:00,11.95,254.0,United Kingdom
INV1000,SKU045,Leather Belt,18,2024-08-21 00:00:00,42.92,746.0,United Kingdom
INV1771,SKU008,Audio Jack,15,2024-06-20 00:00:00,59.42,722.0,United Kingdom
INV0257,SKU027,Wireless Charger,11,2024-09-21 00:00:00,20.11,505.0,United Kingdom
INV1284,SKU100,Plant Pot,4,2024-10-01 00:00:00,35.12,650.0,United Kingdom
INV1219,SKU152,Highlighters,11,2024-10-10 00:00:00,12.23,744.0,United Kingdom
INV1592,SKU153,Markers,14,2024-07-02 00:00:00,18.98,366.0,United Kingdom
INV0710,SKU043,Hiking Boots,6,2024-09-10 00:00:00,31.8,730.0,United Kingdom
INV1985,SKU050,Shorts,17,2024-02-08 00:00:00,65.47,6.0,United Kingdom
INV2002,SKU022,Phone Holder,8,2024-02-24 00:00:00,29.56,374.0,United Kingdom
INV2317,SKU141,Calendar,4,2024-08-10 00:00:00,27.15,486.0,United Kingdom
INV0171,SKU140,Markers Set,4,2024-07-13 00:00:00,73.72,677.0,United Kingdom
INV1428,SKU113,Table Lamp,8,2024-01-14 00:00:00,21.38,27.0,United Kingdom
INV1754,SKU158,Markers,7,2024-02-23 00:00:00,80.63,763.0,United Kingdom
INV1326,SKU075,Mixer,17,2024-11-25 00:00:00,98.55,705.0,United Kingdom
INV1136,SKU033,Socks Pack,23,2024-10-31 00:00:00,32.55,7.0,United Kingdom
INV2366,SKU069,Waffle Maker,3,2024-10-19 00:00:00,63.54,601.0,France
INV1512,SKU125,Scissors,24,2024-07-20 00:00:00,9.77,394.0,Poland
INV2190,SKU056,Sweatpants,16,2024-06-21 00:00:00,27.22,583.0,United Kingdom
INV1988,SKU175,Pen Set,21,2024-05-24 00:00:00,78.49,306.0,United Kingdom
INV0003,SKU052,Socks Pack,10,2024-07-07 00:00:00,16.32,3.0,Denmark
INV1524,SKU167,Whiteboard,21,2024-11-05 00:00:00,30.9,6.0,United Kingdom
INV0390,SKU055,Hiking Boots,19,2023-12-01 00:00:00,23.0,346.0,United Kingdom
INV1730,SKU034,Hiking Boots,13,2024-11-20 00:00:00,9.39,6.0,United Kingdom
INV0562,SKU199,Markers,22,2024-06-13 00:00:00,14.71,6.0,United Kingdom
INV0873,SKU192,Markers,20,2024-10-17 00:00:00,68.81,3.0,France
INV2415,SKU090,Waffle Maker,5,2024-06-14 00:00:00,25.15,471.0,United Kingdom
INV2489,SKU200,Notebook,22,2024-04-24 00:00:00,87.64,318.0,United Kingdom
INV1211,SKU014,Wall Charger,4,2024-10-26 00:00:00,24.49,496.0,United Kingdom
INV1297,SKU100,Wall Art,18,2024-02-06 00:00:00,68.45,1.0,United Kingdom
INV2406,SKU004,Tempered Glass,2,2024-01-04 00:00:00,94.88,794.0,United Kingdom
INV1702,SKU180,Paper Clips,18,2024-07-04 00:00:00,53.99,375.0,United Kingdom
INV0833,SKU138,Scissors,21,2024-02-18 00:00:00,76.43,2.0,United Kingdom
INV0978,SKU063,Microwave,4,2023-12-30 00:00:00,45.61,558.0,United Kingdom
INV0720,SKU004,Portable Charger,6,2024-01-31 00:00:00,49.89,390.0,United Kingdom
INV1524,SKU192,Eraser,4,2024-02-03 00:00:00,77.25,769.0,United Kingdom
INV1078,SKU148,Highlighters,17,2024-11-29 00:00:00,36.33,539.0,United Kingdom
INV0422,SKU173,Sticky Notes,17,2024-09-19 00:00:00,0.76,588.0,Netherlands
INV0615,SKU010,Wireless Charger,23,2024-03-01 00:00:00,74.19,252.0,United Kingdom
INV1311,SKU020,Phone Holder,17,2024-04-17 00:00:00,67.49,224.0,United Kingdom
INV1643,SKU120,Desk Organizer,10,2024-01-05 00:00:00,33.06,275.0,United Kingdom
INV1245,SKU063,Pressure Cooker,16,2024-10-14 00:00:00,99.77,4.0,United Kingdom
INV1005,SKU002,Phone Stand,-9,2024-02-16 00:00:00,34.97,679.0,United Kingdom
INV1542,SKU027,Phone Mount,8,2024-05-06 00:00:00,42.27,,Germany
INV0949,SKU106,Wall Clock,24,2024-08-23 00:00:00,8.95,,United Kingdom
INV2326,SKU112,Wall Sconce,9,2024-01-01 00:00:00,85.16,7.0,Spain
INV1855,SKU060,Jeans,5,2024-04-18 00:00:00,78.1,776.0,United Kingdom
INV1287,SKU031,Leather Belt,7,2024-06-26 00:00:00,45.46,95.0,United Kingdom
INV1247,SKU179,Envelopes,11,2024-11-25 00:00:00,15.26,446.0,United Kingdom
INV1225,SKU045,Winter Jacket,15,2024-04-12 00:00:00,55.81,602.0,United Kingdom
